Sample,Day,Virus,AOB
1,1,3406695410,1692200
2,7,2872150083,3430000
3,13,2079156747,7088000
4,21,2279284613,8564666.667
5,27,2224325016,18953333.33
6,35,1957120240,5587800
7,41,1320790096,8858666.667
8,49,1418632838,18982666.67
9,55,1553959175,21913333.33
10,63,2534371936,31460000
11,69,1399485374,6757333.333
12,77,1283104057,12302000
13,83,953700327.6,8370000
14,91,946718687.1,11790666.67
15,97,1673390627,14777333.33
16,105,1540858931,13113333.33
17,112,2979306402,26293333.33
18,118,1778936121,11612000
19,127,1705114088,7189333.333
20,133,1369753287,9632000
21,139,863795208.9,5432666.667
22,147,1371785311,22650000
23,153,1145805744,18043333.33
24,161,924412800.2,5838000
25,167,1151198814,3368666.667
26,175,1472861128,16966000
27,181,1314385118,11942666.67
28,189,1285185919,45946666.67
29,195,1594805781,20821333.33
30,203,2164801674,60386666.67
31,219,1144458961,41666666.67
32,224,1788199749,24002666.67
33,232,1452853877,10586666.67
34,239,1373899107,6955333.333
35,245,1374182824,6291333.333
36,253,1690063609,2074600
37,259,1311193966,4650000
38,269,1736050287,11572000
39,273,1303942781,13052000
40,280,1671767048,53213333.33
41,287,1777454158,10549333.33
42,295,1450544851,27080666.67
43,303,2358047694,6472666.667
44,308,1548097327,8082666.667
45,316,1292361773,10297333.33
46,322,1427574713,11346666.67
47,329,808786787.2,9020000
48,336,588475192.9,4865333.333
49,345,1007297515,30300000
50,350,1020810808,11745333.33
51,357,1366736232,10540000
52,366,1876267793,17734666.67
53,373,1652500558,13655333.33
54,381,1039279991,7365333.333
55,385,1330780052,6414000
56,392,1156204831,13731333.33
57,399,963577820.9,5863333.333
58,406,535365678.5,9433333.333
59,413,768326406.3,9751000
60,420,1334201449,11604666.67
61,427,1987626709,59733333.33
62,435,1526141084,33300000
63,441,1772763718,14320000
64,449,1610916984,7846666.667
65,457,1099696786,26373333.33
66,463,1221511186,11324000
67,470,1208337587,9938000
68,477,922875881.4,21252000
69,484,587254791.4,5674666.667
70,492,1466857098,6973333.333
71,497,1358248933,2559333.333
72,505,946226736.1,6245333.333
73,513,917149948.7,9830666.667
74,519,748148222.6,14341333.33
75,526,1275190874,19308000
76,533,922736404.1,17649333.33
77,540,763333872.5,24366666.67
78,547,372779707.5,13052000
79,554,318091845.9,10715333.33
80,559,547385060.3,15169333.33
81,566,531251261.4,8289333.333
82,583,564879288.8,1771266.667
83,588,844430222.2,4054666.667
84,596,659342274.2,11203333.33
85,602,699194186.2,9185333.333
86,609,410621114.7,6096000
87,615,633959620.4,6722000
88,624,1068677017,2318666.667
89,630,868743324.4,4533333.333
90,638,986256706.7,5021333.333
91,644,1058187644,13145333.33
92,651,1090887868,12998666.67
93,659,522443405,3338533.333
94,667,809317973.5,18744666.67
95,672,653960405.1,13060666.67
96,681,1112832923,15445333.33
97,688,1117402218,4966666.667
98,693,1669380759,10778666.67
99,700,2287231304,11562666.67
100,707,1464470703,2270266.667
101,716,1472861128,3340000
102,720,1071961862,13893333.33
