c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.01,12.60159198987102,1.0,1.7638262045860285,0.07721212032985118,0.00583748057347058
1.0,10.0,0.01,18.571719995953725,1.0,1.2588786275218027,0.12400618816180253,0.004640091275439345
1.0,10.0,0.01,16.344536031736816,1.0,1.2176829784197831,0.22900468908990151,0.0046792573826694335
1.0,10.0,0.01,13.880634817951032,1.0,1.5326593278874678,0.12578908435850308,0.004709651190659233
1.0,10.0,0.01,14.27532160224817,1.0,1.4809258330780477,0.09664647784627901,0.005885309669606091
1.0,10.0,0.01,11.271071196964208,1.0,1.6696606286085178,0.1018255609212047,0.003957957206416646
1.0,10.0,0.01,12.127261527783698,1.0,1.9270844295830574,0.11623040397517828,0.00572261651818459
1.0,10.0,0.01,26.91382708727405,1.0,1.4027417097926425,0.12713645044710947,0.0037713099690106873
1.0,10.0,0.01,29.21842259254395,1.0,1.0150911876324706,0.13905632024913295,0.0034208260967155367
1.0,10.0,0.01,25.62480899007441,1.0,1.2726542979129285,0.105362355439052,0.003305813236981631
1.0,10.0,0.01,22.948142095559756,1.0,1.165174272195213,0.11861922319491547,0.006595856017376911
1.0,10.0,0.01,22.948142095559756,1.0,1.165174272195213,0.11861922319491547,0.006595856017376911
1.0,10.0,0.01,16.10364586786792,1.0,1.651858157749088,0.11047937117622764,0.006900293044776456
1.0,10.0,0.01,17.083811811749424,1.0,1.358888411842197,0.1687066161034243,0.004964891660553296
1.0,10.0,0.01,21.912191686952475,1.0,1.3633559240329673,0.178259196506802,0.007099536620177443
1.0,10.0,0.01,24.785870318225033,1.0,1.3682383115932881,0.16814909140295942,0.00540451529766624
1.0,10.0,0.01,21.694105336452182,1.0,1.6963320533019304,0.19852791561938396,0.006820060181457473
1.0,10.0,0.01,17.452910405992696,1.0,1.2071415777129533,0.1930797000142883,0.004594974460049242
1.0,10.0,0.01,13.7269045966981,1.0,1.5476226467347802,0.1592858444782535,0.006197500135861347
1.0,10.0,0.01,13.409272890349925,1.0,1.5275769925706073,0.1474173124801227,0.007131182926233173
1.0,10.0,0.01,15.792796622818702,1.0,1.656730869913236,0.12205756649279437,0.008433332334320276
1.0,10.0,0.01,23.9800121624015,1.0,1.6026486811035288,0.17277152961024067,0.011671657994010785
1.0,10.0,0.01,29.64953139693828,1.0,1.3954078741274833,0.2643966853360732,0.011543062297705561
1.0,10.0,0.01,24.50100259351722,1.0,1.6200102536447114,0.24517514530273313,0.013208779326226688
1.0,10.0,0.01,24.568937092663226,1.0,1.710309838537738,0.25917678606419436,0.01020711846309107
1.0,10.0,0.01,22.38316683479346,1.0,1.6084277730718939,0.27551169163031225,0.009166126144769023
1.0,10.0,0.01,14.622073527228727,1.0,1.6406909599921116,0.3649317718124884,0.005387730523609209
1.0,10.0,0.01,20.37388978650935,1.0,1.5340270577166286,0.3206754510479393,0.004757035482004063
1.0,10.0,0.01,18.310898418737466,1.0,1.406854977275753,0.30428768722247174,0.005142075061321584
1.0,10.0,0.01,20.806718869702472,1.0,1.5545830972097294,0.40373236318696365,0.005709737331233088
1.0,10.0,0.01,20.806718869702472,1.0,1.5545830972097294,0.40373236318696365,0.005709737331233088
1.0,10.0,0.01,23.509098727939342,1.0,1.7097127187935617,0.4075400671633005,0.005424346744231491
1.0,10.0,0.01,29.97204639007755,1.0,1.524381015941026,0.395643132251905,0.007036467117323793
1.0,10.0,0.01,26.050827791230358,1.0,1.555103021219824,0.5001837037123971,0.00462995325298175
1.0,10.0,0.01,28.172081201209583,1.0,1.6715790079647506,0.5634614953485197,0.003636618447215799
1.0,10.0,0.01,27.68946831779992,1.0,1.512705221158508,0.45275481232169185,0.0033256915693145607
1.0,10.0,0.01,20.762363189375865,1.0,1.299113846675495,0.3775342279049634,0.004339643999810625
1.0,10.0,0.01,18.5422296668084,1.0,1.6952126678854824,0.34576248470135695,0.003628119092453578
1.0,10.0,0.01,18.5422296668084,1.0,1.6952126678854824,0.34576248470135695,0.003628119092453578
1.0,10.0,0.01,18.5422296668084,1.0,1.6952126678854824,0.34576248470135695,0.003628119092453578
1.0,10.0,0.01,18.5422296668084,1.0,1.6952126678854824,0.34576248470135695,0.003628119092453578
1.0,10.0,0.01,18.5422296668084,1.0,1.6952126678854824,0.34576248470135695,0.003628119092453578
1.0,10.0,0.01,18.949069401933617,1.0,1.8189618469884492,0.3095166293393969,0.00422103723770533
1.0,10.0,0.01,17.523550642263146,1.0,1.6643940466674014,0.4168490963253002,0.004707435737372063
1.0,10.0,0.01,17.523550642263146,1.0,1.6643940466674014,0.4168490963253002,0.004707435737372063
1.0,10.0,0.01,17.523550642263146,1.0,1.6643940466674014,0.4168490963253002,0.004707435737372063
1.0,10.0,0.01,15.576527855862848,1.0,1.7988497413210223,0.43555100153345383,0.0048804084582424875
1.0,10.0,0.01,13.886670723987384,1.0,1.6335850338413975,0.46039614944960966,0.004955859679384384
1.0,10.0,0.01,12.987298633610338,1.0,1.7679523752848596,0.47773837118330226,0.005132410181912668
1.0,10.0,0.01,12.987298633610338,1.0,1.7679523752848596,0.47773837118330226,0.005132410181912668
1.0,10.0,0.01,12.987298633610338,1.0,1.7679523752848596,0.47773837118330226,0.005132410181912668
1.0,10.0,0.01,21.534982010355655,1.0,1.2373286529496432,0.4559379207236745,0.005150738574296972
1.0,10.0,0.01,23.26655111200035,1.0,1.3801347597914368,0.5050585927029941,0.004232108935753127
1.0,10.0,0.01,30.561389911084643,1.0,1.397244314236941,0.5663792187700596,0.003269409151390627
1.0,10.0,0.01,33.9997854906393,1.0,2.0096763384669867,0.2767459300676798,0.003925609650988237
1.0,10.0,0.01,32.7870657508806,1.0,1.9252167339292237,0.22768418208398222,0.0027167089295639076
