"count","id","value","long","lat","time"
"1","1189877486","so, this week is accumulating a list of fairy-circles in time, created by anxiety: a surprise lunch, a couple lost half-hours, etc. ","-1.615214","54.980632","2015-04-24 10:42:32.588000"
"2","1213550588","@visitengland fab photo  ","-1.599219","54.846886","2015-04-24 10:42:08.338000"
"3","1470726446","beautiful sunlit day ruined moments later when a mouse ran under the fence and the dog lost her shit. ","-1.391101","54.978494","2015-04-24 10:41:58.744000"
"4","163848137","so i just had a walk around newcastle, just after an english breakfast and some tea... then i got starbucks ","-1.615387","54.969456","2015-04-24 10:41:54.650000"
"5","238284806","@fayegerrard1 buck izzzz abel ","-1.616888","54.973205","2015-04-24 10:41:50.228000"
"6","2846940851","it doesnt matter where i go,what room im sitting in there always a giant bee or swasp! they are following me! perfume? #eek #sting #ouch ","-1.635042","55.010116","2015-04-24 10:41:46.931000"
"7","20583877","noah was so inspired by us putting a @patglassnwd poster in the window hes designed, drawn and hung one of his own http://t.co/atrfygjedz ","-1.853968","54.871054","2015-04-24 10:41:32.806000"
"8","218622720","time to resume normal life after a whirl wind week. 6 days to go til freedom and i will be the happiest girl in the world  ","-1.608224","54.979409","2015-04-24 10:41:08.088000"
"9","1213550588","@arianaraindrops yucccccccky  ","-1.599219","54.846886","2015-04-24 10:41:00.135000"
"10","3126555185","@gamerz_connect should play destiny sometime bro psn name same as above ","-1.519333","55.120853","2015-04-24 10:40:59.494000"
"11","1470726446","current revision setting http://t.co/ijfk06zzbw ","-1.391127","54.978495","2015-04-24 10:39:51.026000"
"12","2490026132","@kardashianreact @lucythomo ","-1.607271","54.995054","2015-04-24 10:39:36.901000"
"13","1213550588","@arianaraindrops it better not edinburgh !!!!!! ","-1.599206","54.84688","2015-04-24 10:39:25.026000"
"14","163848137","@inceptiontimerb you should have disturbed me....  i have no idea what i am doing ","-1.615303","54.969473","2015-04-24 10:39:13.401000"
"15","3126555185","@gamerz_connect cool bro im going to get some ","-1.519333","55.120853","2015-04-24 10:38:46.479000"
"16","398333948","i need a mcdonalds  ","-1.574169","54.927634","2015-04-24 10:38:25.041000"
"17","3126555185"," well said https://t.co/ngezk6mlxm ","-1.519332","55.120853","2015-04-24 10:38:20.229000"
"18","291352414","why madrid let alonso go is beyond me ","-1.581625","55.027839","2015-04-24 10:38:16.323000"
"19","172918886","did you see bbc1 secret britain wed. in scotland and did nevis it was really good @deanat50 @martinpeart @kforce21 @danirving11 ","-1.569755","55.026353","2015-04-24 10:38:14.886000"
"20","1213550588","another one to look at on instagram is: jternent_illustrator  ","-1.599103","54.846909","2015-04-24 10:37:49.574000"
"21","29651269","@rosaltmann stay strong &amp; compassionate ros x ","-1.444959","54.913571","2015-04-24 10:37:27.856000"
"22","3126555185","@gamerz_connect sweet bro where did you get that? ","-1.519333","55.120853","2015-04-24 10:37:21.246000"
"23","218622720","@michael_mather_ hehe oops ","-1.608328","54.979379","2015-04-24 10:37:18.809000"
"24","515617328","fast drying nail varnish saves so much stress ","-1.378611","54.872505","2015-04-24 10:37:14.231000"
